compound_id,smiles,compound_type,known_activity,description
CDK_211,C1CCNCC1.CN.CN1CCCCC1.N[SH](=O)=O,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_074,CC(C)C.Clc1ccccc1.Nc1nc2ccccc2[nH]1,CDK_inhibitor,CDK4/6_active,Synthetic kinase inhibitor scaffold 40
DECOY_168,C1CCNCC1.FC(F)F.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_032,CN1CCC(=C(c2ccccc2)c3ccccc3)CC1,decoy,inactive,Antibiotic compound
CDK_105,Cn1ncc2ncncc21.Fc1ccccc1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 71
DECOY_179,Cl.NC=O.N[SH](=O)=O.c1ccccc1,decoy,inactive,Drug-like decoy compound
DECOY_170,C1CCNCC1.CO.N[SH](=O)=O.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_125,COc1ccccc1.Cc1ccccc1.Nc1nc2ccncc2[nH]1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 91
CDK_069,COc1ccccc1.Clc1ccccc1.c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 35
CDK_248,Br.CN1CCCCC1.F.O=CO,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_010,C1CN(CCN1)C2=NC3=C(C=CC(=C3)Br)C(=N2)NC4=CC=C(C=C4)CN5CCOCC5,CDK_inhibitor,CDK4/6_active,PD-0332991 analog
DECOY_061,Br.CN1CCCCC1.NC=O.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_229,Br.CN1CCCCC1.c1ccccc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
CDK_085,CCN(C)C.Nc1nc2ccncc2[nH]1,CDK_inhibitor,CDK2_active,Synthetic kinase inhibitor scaffold 51
DECOY_166,CN1CCCCC1.O=CO.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_176,C1CCNCC1.CN1CCCCC1.Cl.F,decoy,inactive,Drug-like decoy compound
DECOY_240,CN.NC=O.O=CO.c1ccncc1,decoy,inactive,Drug-like decoy compound
CDK_031,Cn1c(Br)nc2c1c(=O)n(-c1ccccc1)c(=O)n2C,CDK_inhibitor,CDK2_active,R-roscovitine derivative analog 4
CDK_190,C1CCNCC1.CN.FC(F)F.c1cncnc1,CDK_inhibitor,CDK2_active,Synthetic CDK inhibitor candidate
DECOY_189,CN1CCCCC1.O=CO.c1ccccc1,decoy,inactive,Drug-like decoy compound
CDK_262,CN1CCCCC1.O=CO.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
CDK_263,Br.CN1CCCCC1.c1ccncc1.c1cncnc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_112,C1CCNCC1.FC(F)F.NC=O.N[SH](=O)=O,decoy,inactive,Drug-like decoy compound
DECOY_160,CN1CCCCC1.FC(F)F.NC=O,decoy,inactive,Drug-like decoy compound
CDK_077,CN1CCCCC1.Nc1nc2ccccc2[nH]1.c1cncnc1,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 43
DECOY_222,C1CCNCC1.F.NC=O.c1ccncc1,decoy,inactive,Drug-like decoy compound
DECOY_241,CN1CCCCC1.Cl.F.FC(F)F,decoy,inactive,Drug-like decoy compound
DECOY_072,NC=O.O=CO.c1ccncc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
CDK_102,Nc1ncnc(Nc2ccccc2)n1.c1cncnc1,CDK_inhibitor,CDK7_active,Synthetic kinase inhibitor scaffold 68
CDK_198,C1CCNCC1.CO.FC(F)F.c1ccncc1,CDK_inhibitor,CDK4/6_active,Synthetic CDK inhibitor candidate
DECOY_229,CO.NC=O.N[SH](=O)=O.O=CO,decoy,inactive,Drug-like decoy compound
DECOY_148,CN1CCCCC1.F.c1ccccc1.c1cncnc1,decoy,inactive,Drug-like decoy compound
DECOY_207,CN.CN1CCCCC1.NC=O.O=CO,decoy,inactive,Drug-like decoy compound
DECOY_049,CN.FC(F)F.N[SH](=O)=O.O=CO,decoy,inactive,Drug-like decoy compound
CDK_003,CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=NC4=C3C=C(C=C4)NC5=C(C=CC=C5Cl)F,CDK_inhibitor,CDK4/6_active,Abemaciclib - FDA approved CDK4/6 inhibitor
DECOY_147,Br.CN1CCCCC1.CO,decoy,inactive,Drug-like decoy compound
CDK_231,Br.CN1CCCCC1.CO.Cl,CDK_inhibitor,CDK_active,Synthetic CDK inhibitor candidate
CDK_071,CCN(C)C.FC(F)(F)c1ccccc1.Nc1ncnc(Nc2ccccc2)n1,CDK_inhibitor,CDK_active,Synthetic kinase inhibitor scaffold 37
